"","school_name","address","latitude","longitude"
"1","ADMIRALTY PRIMARY SCHOOL","11 woodlands circle","1.4426347903311","103.800040119743"
"2","AHMAD IBRAHIM PRIMARY SCHOOL","10 yishun street 11","1.43315271543517","103.832942401086"
"3","AI TONG SCHOOL","100 bright hill drive","1.36058343005814","103.83302033725"
"4","ALEXANDRA PRIMARY SCHOOL","2a prince charles crescent","1.29116965570463","103.824017403629"
"5","ANCHOR GREEN PRIMARY SCHOOL","31 anchorvale drive","1.39050830954652","103.887433162937"
"6","ANDERSON PRIMARY SCHOOL","19 ang mo kio ave 9","1.38426429436736","103.841392081119"
"7","ANG MO KIO PRIMARY SCHOOL","20 ang mo kio avenue 3","1.36870363392975","103.839705325534"
"8","ANGLO-CHINESE SCHOOL (JUNIOR)","16 winstedt road","1.30900345657234","103.84185340188"
"9","ANGLO-CHINESE SCHOOL (PRIMARY)","50 barker road","1.31871860621788","103.83534516884"
"10","ANGSANA PRIMARY SCHOOL","3 tampines street 22","1.34855287558648","103.951808105552"
"11","BEACON PRIMARY SCHOOL","36 bukit panjang ring road","1.38424146547316","103.773868475891"
"12","BEDOK GREEN PRIMARY SCHOOL","1 bedok south ave 2","1.32399627990304","103.937745023577"
"13","BENDEMEER PRIMARY SCHOOL","91 bendemeer road","1.32181250780475","103.865404167629"
"14","BLANGAH RISE PRIMARY SCHOOL","91 telok blangah heights","1.27671535398442","103.809208632292"
"15","BOON LAY GARDEN PRIMARY SCHOOL","20 boon lay drive","1.34317853793318","103.713280889452"
"16","BUKIT PANJANG PRIMARY SCHOOL","109 cashew road","1.37350089986584","103.769417337654"
"17","BUKIT TIMAH PRIMARY SCHOOL","111 lorong kismis","1.3372995575169","103.766828720721"
"18","BUKIT VIEW PRIMARY SCHOOL","18 bukit batok street 21","1.34625469092492","103.753303575677"
"19","CANBERRA PRIMARY SCHOOL","21 admiralty drive","1.45125024371543","103.815858858929"
"20","CANOSSA CATHOLIC PRIMARY SCHOOL","1 sallim road","1.32664424544839","103.882227964852"
"21","CANTONMENT PRIMARY SCHOOL","1 cantonment close","1.27546534984202","103.840041087946"
"22","CASUARINA PRIMARY SCHOOL","30 pasir ris st 41","1.37246063927999","103.957020286115"
"23","CEDAR PRIMARY SCHOOL","15 cedar avenue","1.33566084356265","103.87562006259"
"24","CHANGKAT PRIMARY SCHOOL","11 simei st 3","1.34023163951633","103.952080114035"
"25","CHIJ (KATONG) PRIMARY","17 martia road","1.30648535277087","103.911105620496"
"26","CHIJ (KELLOCK)","1 bukit teresa road","1.275022722964","103.828157564896"
"27","COMPASSVALE PRIMARY SCHOOL","21 compassvale st","1.39444529636566","103.897812229905"
"28","CHIJ OUR LADY OF GOOD COUNSEL","2c burghley drive","1.35742952269615","103.864009397373"
"29","CHIJ OUR LADY OF THE NATIVITY","1257 upper serangoon road","1.37330297140128","103.897575728303"
"30","CHIJ OUR LADY QUEEN OF PEACE","4 chestnut drive","1.366603668561","103.767412204602"
"31","CHIJ PRIMARY (TOA PAYOH)","628 lorong 1 toa payoh","1.33275263726147","103.841847268953"
"32","CHONGFU SCHOOL","170 yishun avenue 6","1.43846230429529","103.839070714229"
"33","CHONGZHENG PRIMARY SCHOOL","1 tampines street 21","1.35070739237744","103.951399541868"
"34","CHUA CHU KANG PRIMARY SCHOOL","20 choa chu kang avenue 2","1.37760828302593","103.741270440945"
"35","CLEMENTI PRIMARY SCHOOL","8 clementi ave 3","1.31505731320501","103.762966674996"
"36","CONCORD PRIMARY SCHOOL","3 choa chu kang ave 4","1.38000806197242","103.736225440727"
"37","CORPORATION PRIMARY SCHOOL","31 jurong west street 24","1.35099779872539","103.707593724342"
"38","DAMAI PRIMARY SCHOOL","52 bedok reservoir crescent","1.33546106800406","103.921270169613"
"39","DAZHONG PRIMARY SCHOOL","35 bukit batok street 31","1.35940345327924","103.748265393745"
"40","DE LA SALLE SCHOOL","11 choa chu kang st 52","1.3947078296399","103.743201812831"
"41","EAST SPRING PRIMARY SCHOOL","31 tampines st 33","1.35268400746357","103.961676849165"
"42","EDGEFIELD PRIMARY SCHOOL","41 edgefield plains","1.40009139510996","103.907847599114"
"43","ELIAS PARK PRIMARY SCHOOL","11 pasir ris street 52","1.37505696315817","103.945289416873"
"44","ENDEAVOUR PRIMARY SCHOOL","10 admiralty link","1.45403837499301","103.817436231731"
"45","EUNOS PRIMARY SCHOOL","95 jalan eunos","1.32438836310047","103.904374791251"
"46","EVERGREEN PRIMARY SCHOOL","31 woodlands circle","1.44415332824735","103.794577787757"
"47","FAIRFIELD METHODIST SCHOOL (PRIMARY)","100 dover road","1.30100441916733","103.785455606827"
"48","FARRER PARK PRIMARY SCHOOL","2 farrer park road","1.31236867681371","103.850766402965"
"49","FENGSHAN PRIMARY SCHOOL","307 bedok north road","1.32980598760785","103.931710293058"
"50","FERN GREEN PRIMARY SCHOOL","70 fernvale link","1.39744694871873","103.88012374173"
"51","FERNVALE PRIMARY SCHOOL","1 fernvale lane","1.38966308328476","103.874088586824"
"52","FIRST TOA PAYOH PRIMARY SCHOOL","7 lorong 8 toa payoh","1.34032298622598","103.855651157354"
"53","FRONTIER PRIMARY SCHOOL","20 jurong west street 61","1.33641298743234","103.69970173931"
"54","FUCHUN PRIMARY SCHOOL","23 woodlands avenue 1","1.43047990810126","103.778192944298"
"55","FUHUA PRIMARY SCHOOL","65 jurong east street 13","1.33659726465816","103.736089481883"
"56","GAN ENG SENG PRIMARY SCHOOL","100 redhill close","1.28559516494962","103.815547410064"
"57","GEYLANG METHODIST SCHOOL (PRIMARY)","4 geylang east central","1.31814416827374","103.883628501601"
"58","GONGSHANG PRIMARY SCHOOL","1 tampines street 42","1.35723721393297","103.949115320172"
"59","GREENDALE PRIMARY SCHOOL","50 edgedale plains","1.39648195114256","103.91233462071"
"60","GREENRIDGE PRIMARY SCHOOL","11 jelapang road","1.38593108948507","103.767803387989"
"61","GREENWOOD PRIMARY SCHOOL","11 woodlands dr 62","1.43989958331782","103.804725587384"
"62","GUANGYANG PRIMARY SCHOOL","6 bishan street 12","1.34604265945532","103.84928476911"
"63","HAIG GIRLS' SCHOOL","51 koon seng road","1.31173085411355","103.903061519804"
"64","HENRY PARK PRIMARY SCHOOL","1 holland grove road","1.31667646178347","103.784296227747"
"65","HOLY INNOCENTS' PRIMARY SCHOOL","5 lorong low koon","1.36693830877349","103.894114899795"
"66","HONG WEN SCHOOL","30 towner road","1.32175999964553","103.857628468881"
"67","HORIZON PRIMARY SCHOOL","61 edgedale plains","1.399550034492","103.913404855665"
"68","HOUGANG PRIMARY SCHOOL","1 hougang st 93","1.3783458389807197","103.88124751058996"
"69","HUAMIN PRIMARY SCHOOL","21 yishun avenue 11","1.42697284512936","103.844240226564"
"70","INNOVA PRIMARY SCHOOL","80 woodlands drive 17","1.42927790140509","103.790592723808"
"71","JIEMIN PRIMARY SCHOOL","2 yishun street 71","1.42768847665227","103.830425490093"
"72","JING SHAN PRIMARY SCHOOL","5 ang mo kio st 52","1.3724870849874014","103.85179862593101"
"73","JUNYUAN PRIMARY SCHOOL","2 tampines street 91","1.34787074766746","103.939221709073"
"74","JURONG PRIMARY SCHOOL","320 jurong east street 32","1.34843859698946","103.733156566858"
"75","JURONG WEST PRIMARY SCHOOL","30 jurong west st 61","1.33917519796104","103.698803732244"
"76","JUYING PRIMARY SCHOOL","31 jurong west street 91","1.33902264667589","103.687769623983"
"77","KEMING PRIMARY SCHOOL","90 bukit batok east avenue 6","1.34552849960874","103.756449399351"
"78","KHENG CHENG SCHOOL","15 lorong 3 toa payoh","1.33728818369962","103.847141122849"
"79","KONG HWA SCHOOL","350 guillemard road","1.31099674009193","103.888352029067"
"80","KRANJI PRIMARY SCHOOL","11 choa chu kang street 54","1.39369034929329","103.746831748711"
"81","KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL","8 bishan street 13","1.34931014201944","103.854300279284"
"82","LAKESIDE PRIMARY SCHOOL","161 corporation walk","1.33837569571569","103.718096899655"
"83","LIANHUA PRIMARY SCHOOL","2 bukit batok street 52","1.35424191127295","103.754165828711"
"84","MAHA BODHI SCHOOL","10 ubi avenue 1","1.32847086658384","103.901298737314"
"85","MARSILING PRIMARY SCHOOL","31 woodlands centre road","1.43392876015922","103.773637073788"
"86","MARYMOUNT CONVENT SCHOOL","20 marymount road","1.34036676987375","103.840021064426"
"87","MAYFLOWER PRIMARY SCHOOL","6 ang mo kio avenue 2","1.37614621670476","103.835805246743"
"88","MEE TOH SCHOOL","21 edgedale plains","1.3946184538592","103.908589494228"
"89","MERIDIAN PRIMARY SCHOOL","20 pasir ris st 71","1.37552831658484","103.934889078518"
"90","METHODIST GIRLS' SCHOOL (PRIMARY)","11 blackmore drive","1.33292998864414","103.782962649043"
"91","MONTFORT JUNIOR SCHOOL","52 hougang avenue 8","1.37362445234082","103.889741457901"
"92","NAN CHIAU PRIMARY SCHOOL","50 anchorvale link","1.39206468147602","103.890924984558"
"93","NAN HUA PRIMARY SCHOOL","30 jalan lempeng","1.31919648268012","103.761179518517"
"94","NANYANG PRIMARY SCHOOL","52 king's road","1.32107094241153","103.807681852799"
"95","NAVAL BASE PRIMARY SCHOOL","7 yishun ave 4","1.41629226758972","103.838858273963"
"96","NEW TOWN PRIMARY SCHOOL","300 tanglin halt road","1.29964188181021","103.80010216304"
"97","NGEE ANN PRIMARY SCHOOL","344 marine terrace","1.30552505910497","103.917463017497"
"98","NORTH SPRING PRIMARY SCHOOL","1 rivervale street","1.38706146494859","103.903202683028"
"99","NORTH VIEW PRIMARY SCHOOL","210 yishun avenue 6","1.42752326549687","103.848254983853"
"100","NORTH VISTA PRIMARY SCHOOL","20 compassvale link","1.38282243016299","103.895961877928"
"101","NORTHLAND PRIMARY SCHOOL","15 yishun avenue 4","1.42096989918951","103.840928424929"
"102","NORTHOAKS PRIMARY SCHOOL","61 sembawang drive","1.45662379586093","103.813688476692"
"103","NORTHSHORE PRIMARY SCHOOL","30 northshore drive","1.41838582194822","103.905213074925"
"104","OASIS PRIMARY SCHOOL","71 edgefield plains","1.4044595121197","103.910896590133"
"105","OPERA ESTATE PRIMARY SCHOOL","48 fidelio street","1.31996876377748","103.923752668632"
"106","PALM VIEW PRIMARY SCHOOL","150 compassvale bow","1.38376923022123","103.891354675017"
"107","PARK VIEW PRIMARY SCHOOL","60 pasir ris drive 1","1.37801687647812","103.9392021807"
"108","PASIR RIS PRIMARY SCHOOL","5 pasir ris street 21","1.37245132722087","103.962922699031"
"109","PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY)","298 lorong ah soo","1.3502545600894","103.884846876112"
"110","PEI CHUN PUBLIC SCHOOL","16 lorong 7 toa payoh","1.33677864390672","103.855341310212"
"111","PEI HWA PRESBYTERIAN PRIMARY SCHOOL","7 pei wah avenue","1.33807302121151","103.776250903095"
"112","PEI TONG PRIMARY SCHOOL","15 clementi avenue 5","1.31652862942944","103.767682345847"
"113","PEIYING PRIMARY SCHOOL","651 yishun ring road","1.41723339695904","103.830417090698"
"114","PIONEER PRIMARY SCHOOL","23 jurong west street 81","1.34883617453427","103.695003812477"
"115","POI CHING SCHOOL","21 tampines street 71","1.37633346909682","103.936990723441"
"116","PRINCESS ELIZABETH PRIMARY SCHOOL","30 bukit batok west avenue 3","1.349203512653","103.74101964471"
"117","PUNGGOL COVE PRIMARY SCHOOL","52 sumang walk","1.41158455562454","103.89890448429"
"118","PUNGGOL GREEN PRIMARY SCHOOL","98 punggol walk","1.40174026303645","103.89873007019"
"119","PUNGGOL PRIMARY SCHOOL","61 hougang avenue 8","1.37820062547641","103.894667159512"
"120","PUNGGOL VIEW PRIMARY SCHOOL","9 punggol place","1.40505250226058","103.905299026568"
"121","QIFA PRIMARY SCHOOL","50 west coast avenue","1.3132658326807","103.756629101811"
"122","QIHUA PRIMARY SCHOOL","5 woodlands street 81","1.4420359661233","103.788339756898"
"123","QUEENSTOWN PRIMARY SCHOOL","310 margaret dr","1.29559365009015","103.807548617332"
"124","RADIN MAS PRIMARY SCHOOL","1 bukit purmei avenue","1.27489701529771","103.824115781658"
"125","RAFFLES GIRLS' PRIMARY SCHOOL","21 hillcrest road","1.3294042600012","103.806442915912"
"126","RED SWASTIKA SCHOOL","350 bedok north avenue 3","1.33405659580859","103.934317528484"
"127","RIVER VALLEY PRIMARY SCHOOL","2 river valley green","1.29418347842837","103.836018941571"
"128","RIVERSIDE PRIMARY SCHOOL","110 woodlands crescent","1.44783369895684","103.80197619401"
"129","RIVERVALE PRIMARY SCHOOL","80 rivervale drive","1.39333506298213","103.904545253288"
"130","ROSYTH SCHOOL","21 serangoon north avenue 4","1.37289067499064","103.875001549174"
"131","RULANG PRIMARY SCHOOL","6 jurong west street 52","1.34718953201213","103.718786145011"
"132","SEMBAWANG PRIMARY SCHOOL","10 sembawang drive","1.37730614502021","103.828820879667"
"133","SENG KANG PRIMARY SCHOOL","21 compassvale walk","1.38949740422462","103.899767112047"
"134","SENGKANG GREEN PRIMARY SCHOOL","15 fernvale road","1.39283924999573","103.875158826938"
"135","SHUQUN PRIMARY SCHOOL","8 jurong west street 51","1.34760285244673","103.721459527674"
"136","SI LING PRIMARY SCHOOL","61 woodlands avenue 1","1.43240935732525","103.786035065192"
"137","SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL","190 dunearn road","1.3206340835184","103.828164966953"
"138","SOUTH VIEW PRIMARY SCHOOL","6 choa chu kang central","1.38166664389749","103.746275846011"
"139","SPRINGDALE PRIMARY SCHOOL","71 anchorvale link","1.39495818021916","103.889896508672"
"140","ST. ANDREW'S JUNIOR SCHOOL","2 francis thomas drive","1.33140255308868","103.865117134385"
"141","ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL","1602 bedok north ave 4","1.3347253730189","103.941234868202"
"142","ST. ANTHONY'S PRIMARY SCHOOL","30 bukit batok st 32","1.36411948475833","103.749251919049"
"143","ST. GABRIEL'S PRIMARY SCHOOL","220 lorong chuan","1.34930766795555","103.862309899986"
"144","ST. HILDA'S PRIMARY SCHOOL","2 tampines ave 3","1.34934960586367","103.936865693533"
"145","ST. JOSEPH'S INSTITUTION JUNIOR","3 essex road","1.31772860986913","103.845611935235"
"146","ST. MARGARET'S PRIMARY SCHOOL","2 mattar road","1.32439150290682","103.881624837373"
"147","ST. STEPHEN'S SCHOOL","20 siglap view","1.31878279235375","103.917372254203"
"148","STAMFORD PRIMARY SCHOOL","1 victoria lane","1.30345638467449","103.857453500579"
"149","TAMPINES NORTH PRIMARY SCHOOL","30 tampines avenue 9","1.36047641484682","103.948725782833"
"150","TAMPINES PRIMARY SCHOOL","250 tampines street 12","1.3504863946694","103.943573098509"
"151","TANJONG KATONG PRIMARY SCHOOL","10 seraya road","1.30498489044822","103.899999965407"
"152","TAO NAN SCHOOL","49 marine crescent","1.30528528687321","103.911553152326"
"153","TECK GHEE PRIMARY SCHOOL","1 ang mo kio street 32","1.36565018546903","103.851009800453"
"154","TECK WHYE PRIMARY SCHOOL","11 teck whye walk","1.38364996834457","103.753291857016"
"155","TELOK KURAU PRIMARY SCHOOL","50 bedok reservoir rd","1.33109611001931","103.911005345855"
"156","TEMASEK PRIMARY SCHOOL","501 bedok south ave 3","1.31720341663064","103.94575943784"
"157","TOWNSVILLE PRIMARY SCHOOL","3 ang mo kio ave 10","1.36003263746623","103.853826048327"
"158","UNITY PRIMARY SCHOOL","21 choa chu kang crescent","1.40285481877246","103.746822625758"
"159","VALOUR PRIMARY SCHOOL","49 punggol central","1.40686202016291","103.899078423093"
"160","WATERWAY PRIMARY SCHOOL","70 punggol drive","1.39882800626578","103.918621581556"
"161","WELLINGTON PRIMARY SCHOOL","10 wellington circle","1.45192019155475","103.822303719094"
"162","WEST GROVE PRIMARY SCHOOL","1 jurong west st 72","1.344803668030184","103.69894132223683"
"163","WEST SPRING PRIMARY SCHOOL","60 bukit panjang ring road","1.38944145898943","103.766195711835"
"164","WEST VIEW PRIMARY SCHOOL","31 senja road","1.3836758200336","103.760240434318"
"165","WESTWOOD PRIMARY SCHOOL","1 jurong west street 73","1.3477109654722","103.700467520791"
"166","WHITE SANDS PRIMARY SCHOOL","2 pasir ris st 11","1.3657067175511348","103.96106066641337"
"167","WOODGROVE PRIMARY SCHOOL","2 woodlands drive 14","1.43310340168966","103.790604437613"
"168","WOODLANDS PRIMARY SCHOOL","10 woodlands drive 50","1.43658270720199","103.791791282236"
"169","WOODLANDS RING PRIMARY SCHOOL","11 woodlands ring road","1.43495229315857","103.797435733144"
"170","XINGHUA PRIMARY SCHOOL","45 hougang avenue 1","1.35790893589535","103.890472887906"
"171","XINGNAN PRIMARY SCHOOL","5 jurong west street 91","1.34254744877694","103.687950252103"
"172","XINMIN PRIMARY SCHOOL","9 hougang avenue 8","1.37176798317468","103.88280991785"
"173","XISHAN PRIMARY SCHOOL","8 yishun street 21","1.43347186049118","103.837755326519"
"174","YANGZHENG PRIMARY SCHOOL","15 serangoon avenue 3","1.34864575840923","103.868595527042"
"175","YEW TEE PRIMARY SCHOOL","10 choa chu kang st 64","1.39676600905037","103.750985967346"
"176","YIO CHU KANG PRIMARY SCHOOL","1 hougang street 51","1.3778227088538","103.885568719387"
"177","YISHUN PRIMARY SCHOOL","500 yishun ring road","1.43351074871338","103.833920424962"
"178","YU NENG PRIMARY SCHOOL","56 bedok north st 3","1.33388930344069","103.932144857355"
"179","YUHUA PRIMARY SCHOOL","158 jurong east street 24","1.34280230475033","103.741105772644"
"180","YUMIN PRIMARY SCHOOL","3 tampines street 21","1.35129177656981","103.950461927088"
"181","ZHANGDE PRIMARY SCHOOL","51 jalan membina","1.28421153855474","103.825951884637"
"182","ZHENGHUA PRIMARY SCHOOL","9 fajar road","1.37954887512229","103.769313521752"
"183","ZHONGHUA PRIMARY SCHOOL","12 serangoon avenue 4","1.36020329705047","103.869762438084"
